Date,Time In,Time Out,Pond,Site ID,Mesh Size,Species,Length mm,Stretch in,Panel Length ft,COMMON NAME
9/27/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 7:46:00,Quonochontaug Pond,2A,1,983,68,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 7:46:00,Quonochontaug Pond,2A,1,983,51,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,983,52,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,983,55,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,983,57,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,983,56,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,983,58,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,139,343,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,139,348,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,139,312,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,985,72,3.00,15,LADY CRAB
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B,1,985,65,3.00,15,LADY CRAB
9/28/2016 0:00:00,12/30/1899 17:03:00,12/30/1899 6:43:00,Quonochontaug Pond,3A,1,983,60,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:03:00,12/30/1899 6:43:00,Quonochontaug Pond,3A,1,983,54,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:03:00,12/30/1899 6:43:00,Quonochontaug Pond,3A,1,983,57,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:03:00,12/30/1899 6:43:00,Quonochontaug Pond,3A,1,983,67,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:03:00,12/30/1899 6:43:00,Quonochontaug Pond,3A,1,139,350,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:06:00,12/30/1899 6:36:00,Quonochontaug Pond,1A,1,139,368,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:06:00,12/30/1899 6:36:00,Quonochontaug Pond,1A,1,139,440,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:06:00,12/30/1899 6:36:00,Quonochontaug Pond,1A,1,139,330,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:06:00,12/30/1899 6:36:00,Quonochontaug Pond,1A,1,971,120,3.00,15,BLUE CRAB MALE
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,139,0,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,139,342,3.00,15,BASS STRIPED
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,973,163,3.00,15,MANTIS SHRIMP
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,983,65,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,983,63,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,983,63,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,983,66,3.00,15,SPIDER CRAB
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,36,313,3.00,15,MENHADEN ATLANTIC
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,36,299,3.00,15,MENHADEN ATLANTIC
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C,1,36,290,3.00,15,MENHADEN ATLANTIC
9/27/2016 0:00:00,12/30/1899 18:23:00,12/30/1899 7:05:00,Quonochontaug Pond,1D,1,36,299,3.00,15,MENHADEN ATLANTIC
9/27/2016 0:00:00,12/30/1899 18:23:00,12/30/1899 7:05:00,Quonochontaug Pond,1D,1,36,225,3.00,15,MENHADEN ATLANTIC
9/27/2016 0:00:00,12/30/1899 18:23:00,12/30/1899 7:05:00,Quonochontaug Pond,1D,1,983,77,3.00,15,SPIDER CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,110,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,100,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,138,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,105,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,160,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,146,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,102,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,99,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,106,3.00,15,BlUE CRAB
