Date,Time In,Time Out,Pond,Site ID,Gear Number,Species,Length mm,COMMON NAME
9/22/2016 0:00:00,12/30/1899 11:05:00,12/30/1899 16:05:00,Quonochontaug Pond,2C,1,116,120,PIPEFISH NORTHERN
7/26/2016 0:00:00,12/30/1899 11:00:00,12/30/1899 17:03:00,Quonochontaug Pond,2C,3,116,133,PIPEFISH NORTHERN
8/29/2016 0:00:00,12/30/1899 10:20:00,12/30/1899 15:58:00,Quonochontaug Pond,3A,1,116,115,PIPEFISH NORTHERN
10/28/2016 0:00:00,12/30/1899 10:35:00,12/30/1899 16:40:00,Quonochontaug Pond,3D,1,141,87,SEA BASS BLACK
10/28/2016 0:00:00,12/30/1899 10:35:00,12/30/1899 16:40:00,Quonochontaug Pond,3D,3,141,88,SEA BASS BLACK
9/28/2016 0:00:00,12/30/1899 10:50:00,12/30/1899 16:50:00,Quonochontaug Pond,2A,1,141,38,SEA BASS BLACK
9/14/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:37:00,Ninigret Pond,3S,1,141,90,SEA BASS BLACK
9/14/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:37:00,Ninigret Pond,3S,3,141,72,SEA BASS BLACK
9/14/2016 0:00:00,12/30/1899 11:47:00,12/30/1899 18:17:00,Ninigret Pond,4S,1,141,70,SEA BASS BLACK
9/14/2016 0:00:00,12/30/1899 12:16:00,12/30/1899 18:53:00,Ninigret Pond,4C,2,141,95,SEA BASS BLACK
9/14/2016 0:00:00,12/30/1899 12:16:00,12/30/1899 18:53:00,Ninigret Pond,4C,2,141,75,SEA BASS BLACK
8/29/2016 0:00:00,12/30/1899 10:22:00,12/30/1899 16:05:00,Quonochontaug Pond,3B,3,141,74,SEA BASS BLACK
8/29/2016 0:00:00,12/30/1899 10:22:00,12/30/1899 16:05:00,Quonochontaug Pond,3B,3,141,67,SEA BASS BLACK
8/29/2016 0:00:00,12/30/1899 10:34:00,12/30/1899 16:13:00,Quonochontaug Pond,3C,1,141,76,SEA BASS BLACK
8/29/2016 0:00:00,12/30/1899 10:34:00,12/30/1899 16:13:00,Quonochontaug Pond,3C,2,141,62,SEA BASS BLACK
8/29/2016 0:00:00,12/30/1899 10:34:00,12/30/1899 16:13:00,Quonochontaug Pond,3C,2,141,66,SEA BASS BLACK
9/22/2016 0:00:00,12/30/1899 11:05:00,12/30/1899 16:05:00,Quonochontaug Pond,2C,2,141,81,SEA BASS BLACK
9/22/2016 0:00:00,12/30/1899 11:05:00,12/30/1899 16:05:00,Quonochontaug Pond,2C,3,141,73,SEA BASS BLACK
9/22/2016 0:00:00,12/30/1899 11:05:00,12/30/1899 16:05:00,Quonochontaug Pond,2C,3,141,95,SEA BASS BLACK
9/22/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:12:00,Quonochontaug Pond,2D,3,141,73,SEA BASS BLACK
9/22/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:12:00,Quonochontaug Pond,2D,3,141,82,SEA BASS BLACK
9/22/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:12:00,Quonochontaug Pond,2D,3,141,80,SEA BASS BLACK
